"org_ID","parent_ID","code","finance_code","name","name_short_30","name_short_15","org_type_ID","org_type","active","location_ID","location_type_ID","location_address1","location_address2","location_address3","location_city","location_state","location_zip","location","location_zip_ext","location_phone","location_fax","location_email","location_web_site","grade_code_low","grade_code_high","grade_span","contact_title_ID","title","user_firstname","user_middlename","user_lastname","user_suffix","contact_ID","fullname","contact_phone","contact_phone2","contact_phone3","contact_fax","contact_email","group_ID","listing_order","sch_sub_type_ID","sch_sub_type_name","role_sort_order","source","OverRideSortOrder"
"1524","","07702","","DCYF Alternative Education Program","DCYF Alternative Ed. Program","DCYF Alt","2","School","Y","2310","1","57 Power Road","","","Cranston","RI","02920","Cranston, RI  02920","","(401) 462-7253","(401) 462-7249","Heather.DosSantos@dcyf.ri.gov","","06","12","06 - 12","305","Principal/Special Education Administrator","Heather","","DosSantos","","2872","Heather  DosSantos","(401) 462-7253","","","(401) 462-7249","Heather.DosSantos@dcyf.ri.gov","","","4","State Operated School","5","RIDE_Mar 13 2023 12:57PM","999"
"1521","69","28703","","Metropolitan Regional Career and Technical Center","Metropolitan Career Tech Ctr","Metropolitan","2","School","Y","1156","1","325 Public Street","","","Providence","RI","02905","Providence, RI  02905","","(401) 752-2600","(401) 752-2632","ndiaz@metmail.org","www.themethighschool.org","09","12","09 - 12","22","Special Ed. Director","Mary-Ellen","","Rossi","","6934","Mary-Ellen  Rossi","(401) 752-2673","","","","maryellen.rossi@metmail.org","","","4","State Operated School","12","RIDE_Mar 13 2023 12:57PM","999"
"1521","69","28703","","Metropolitan Regional Career and Technical Center","Metropolitan Career Tech Ctr","Metropolitan","2","School","Y","2118","5","362 Dexter Street","Peace Street Campus","","Providence","RI","02907","Providence, RI  02907","","(401) 752-3400","(401) 752-3425","ndiaz@metmail.org","www.themethighschool.org","09","12","09 - 12","","","","","","","","  ","","","","","","","","4","State Operated School","","RIDE_Mar 13 2023 12:57PM","999"
"1521","69","28703","","Metropolitan Regional Career and Technical Center","Metropolitan Career Tech Ctr","Metropolitan","2","School","Y","2119","5","115 Girard Ave","East Bay Campus","","Newport","RI","02840","Newport, RI  02840","","(401) 849-7711","(401) 846-5703","ndiaz@metmail.org","www.themethighschool.org","09","12","09 - 12","","","","","","","","  ","","","","","","","","4","State Operated School","","RIDE_Mar 13 2023 12:57PM","999"
"1513","81","28702","","Rhode Island School for the Deaf","R.I. School for the Deaf","School for Deaf","2","School","Y","1148","1","One Corliss Park","","","Providence","RI","02908","Providence, RI  02908","","(401) 222-3525","(401) 243-1025","nmaguireheath@rideaf.net","rideaf.ri.gov","PK","12","PK - 12","72","Director/Superintendent","Nancy","","Maguire Heath","","3144","Nancy  Maguire Heath","(401) 222-3525","(508) 272-1623","","(401) 243-1025","nmaguireheath@rideaf.net","","","4","State Operated School","5","RIDE_Mar 13 2023 12:57PM","999"
"1513","81","28702","","Rhode Island School for the Deaf","R.I. School for the Deaf","School for Deaf","2","School","Y","1148","1","One Corliss Park","","","Providence","RI","02908","Providence, RI  02908","","(401) 222-3525","(401) 243-1025","nmaguireheath@rideaf.net","rideaf.ri.gov","PK","12","PK - 12","22","Special Ed. Director","Mary","","Pendergast","","2515","Mary  Pendergast","(401) 243-1026","","","(401) 243-1024","mpendergast@rideaf.net","","","4","State Operated School","12","RIDE_Mar 13 2023 12:57PM","999"
"1513","81","28702","","Rhode Island School for the Deaf","R.I. School for the Deaf","School for Deaf","2","School","Y","1148","1","One Corliss Park","","","Providence","RI","02908","Providence, RI  02908","","(401) 222-3525","(401) 243-1025","nmaguireheath@rideaf.net","rideaf.ri.gov","PK","12","PK - 12","529","Coordinator, State Assessments","Barbara","","Cesana","","7126","Barbara  Cesana","(401) 243-1035","","","","bcesana@rideaf.net","","","4","State Operated School","19","RIDE_Mar 13 2023 12:57PM","999"
"1513","81","28702","","Rhode Island School for the Deaf","R.I. School for the Deaf","School for Deaf","2","School","Y","1148","1","One Corliss Park","","","Providence","RI","02908","Providence, RI  02908","","(401) 222-3525","(401) 243-1025","nmaguireheath@rideaf.net","rideaf.ri.gov","PK","12","PK - 12","48","Curriculum & Instruction","Amanda","Claire","Williams","","5712","Amanda Claire Williams","(401) 222-3525","","","","awilliams@rideaf.net","","","4","State Operated School","19","RIDE_Mar 13 2023 12:57PM","999"
"1522","93","07704","","RI Department of Corrections, Education Unit","RI Department of Corrections","Corrections","2","School","Y","2475","1","18 Wilma Schesler Lane, Dix Building","","","Cranston","RI","02920","Cranston, RI  02920","","(401) 462-2507","(401) 462-2509","Sharon.Ursini@doc.ri.gov","","10","12","10 - 12","73","Principal/Special Education Director","Sheila","","DiRaimo","","6644","Sheila  DiRaimo","(401) 462-2507","","","","sheila.DiRaimo@doc.ri.gov","","","4","State Operated School","12","RIDE_Mar 13 2023 12:57PM","999"
"1522","93","07704","","RI Department of Corrections, Education Unit","RI Department of Corrections","Corrections","2","School","Y","2475","1","18 Wilma Schesler Lane, Dix Building","","","Cranston","RI","02920","Cranston, RI  02920","","(401) 462-2507","(401) 462-2509","Sharon.Ursini@doc.ri.gov","","10","12","10 - 12","74","Associate Director","Timothy","","Murphy","","2185","Timothy  Murphy","(401) 462-2507","","","(401) 462-2509","timothy.murphy@doc.ri.gov","","","4","State Operated School","20","RIDE_Mar 13 2023 12:57PM","999"
"1510","54","17701","","Wm. M. Davies Jr. Career-Technical  High School","Davies Career-Tech High School","Davies Car/Tech","2","School","Y","1145","1","50 Jenckes Hill Road","","","Lincoln","RI","02865","Lincoln, RI  02865","","(401) 728-1500","(401) 728-8910","community@daviestech.org","www.daviestech.org","09","12","09 - 12","9","Director","Mary","","Watkins","","1317","Mary  Watkins","(401) 728-1500","","","(401) 728-8910","mwatkins@daviestech.org","","","4","State Operated School","5","RIDE_Mar 13 2023 12:57PM","999"
"1510","54","17701","","Wm. M. Davies Jr. Career-Technical  High School","Davies Career-Tech High School","Davies Car/Tech","2","School","Y","1145","1","50 Jenckes Hill Road","","","Lincoln","RI","02865","Lincoln, RI  02865","","(401) 728-1500","(401) 728-8910","community@daviestech.org","www.daviestech.org","09","12","09 - 12","260","Director of Special Education","Lisa","","Fratus","","1892","Lisa  Fratus","(401) 728-1500","","","(401) 728-8910","lfratus@daviestech.org","","","4","State Operated School","12","RIDE_Mar 13 2023 12:57PM","999"
"1510","54","17701","","Wm. M. Davies Jr. Career-Technical  High School","Davies Career-Tech High School","Davies Car/Tech","2","School","Y","1145","1","50 Jenckes Hill Road","","","Lincoln","RI","02865","Lincoln, RI  02865","","(401) 728-1500","(401) 728-8910","community@daviestech.org","www.daviestech.org","09","12","09 - 12","71","Human Resource Coordinator","Holly","","Walker","","2184","Holly  Walker","(401) 728-1500x317","","","(401) 728-8910","hwalker@daviestech.org","","","4","State Operated School","20","RIDE_Mar 13 2023 12:57PM","999"
